ATM_ID,Avg_Actual,Avg_Predicted,MAE,MAPE
T103,8.83,8.77,1.41,16.81
T27,7.76,8.0,1.44,25.35
T55,10.89,10.99,1.49,19.93
T53,11.66,11.65,1.66,15.99
T22,18.99,18.65,1.7,9.34
T9,8.42,8.7,1.72,24.34
T89,8.64,8.86,1.8,26.63
T63,14.47,14.47,1.85,20.63
T82,13.14,13.04,1.91,17.13
T23,11.68,12.04,1.92,33.81
T81,8.94,8.91,1.94,25.12
T70,16.63,16.96,2.07,15.44
T31,17.85,17.98,2.21,16.16
T100,14.52,14.68,2.22,20.11
T2,20.01,19.78,2.29,13.06
T76,16.29,16.01,2.3,18.21
T71,13.34,13.28,2.36,36.96
T99,17.8,17.61,2.4,18.13
T91,13.94,14.08,2.41,31.84
T59,13.04,13.15,2.42,52.64
T74,14.61,14.55,2.42,19.45
T40,18.87,18.33,2.46,30.77
T77,17.11,16.93,2.47,16.4
T46,18.37,17.93,2.49,13.37
T56,11.26,11.63,2.5,49.93
T20,17.94,17.8,2.51,22.09
T106,19.5,19.08,2.61,14.95
T97,13.22,13.01,2.62,30.36
T87,20.42,20.3,2.62,14.92
T12,14.99,14.95,2.66,25.76
T15,19.87,19.91,2.67,16.88
T39,19.91,19.61,2.7,14.99
T36,11.17,11.4,2.72,37.63
T14,19.66,19.37,2.73,16.48
T72,15.62,16.01,2.74,56.37
T28,17.33,17.66,2.78,37.73
T108,15.38,15.75,2.78,42.32
T79,16.55,16.76,2.79,20.75
T101,21.56,21.5,2.81,13.89
T42,21.53,21.74,2.81,15.6
T45,16.61,16.85,2.83,34.2
T26,18.73,18.66,2.83,22.97
T44,18.75,18.79,2.85,18.41
T111,16.55,16.82,2.85,21.18
T57,17.99,17.87,2.93,21.97
T86,14.29,14.41,2.94,33.3
T61,16.4,16.86,2.95,27.54
T75,15.49,16.37,2.95,30.91
T92,17.05,16.91,2.97,22.54
T7,21.74,21.5,2.98,16.51
T21,16.8,17.03,3.01,34.71
T94,18.76,18.85,3.01,24.7
T78,20.63,20.3,3.02,16.39
T90,18.55,19.1,3.05,22.87
T51,17.09,16.96,3.08,26.96
T85,12.23,12.82,3.09,41.71
T13,21.61,21.23,3.11,16.84
T109,29.73,28.81,3.13,10.88
T25,20.79,20.83,3.19,25.35
T88,11.6,12.05,3.21,48.49
T73,14.87,15.77,3.22,33.32
T8,18.11,18.65,3.22,43.06
T35,17.93,18.3,3.24,44.45
T30,14.89,16.04,3.3,54.02
T32,18.68,19.25,3.33,22.65
T58,21.13,20.64,3.34,17.71
T16,25.29,24.66,3.35,13.3
T84,18.89,18.33,3.35,18.87
T64,11.63,11.93,3.37,60.47
T18,22.68,22.86,3.37,20.42
T10,23.46,23.13,3.41,20.93
T107,16.57,17.1,3.41,63.97
T49,17.23,17.7,3.51,37.66
T62,20.89,21.23,3.52,57.79
T69,17.04,17.4,3.55,41.99
T102,20.87,20.96,3.57,32.77
T105,16.24,16.7,3.64,30.0
T96,23.04,22.65,3.73,40.53
T4,22.71,23.4,3.74,44.76
T41,19.87,20.39,3.78,65.78
T60,15.79,16.7,3.79,102.5
T38,28.97,28.67,3.8,16.7
T3,26.31,25.91,3.81,16.97
T95,22.74,21.73,3.88,18.02
T54,17.89,18.2,3.91,87.27
T43,22.25,22.06,3.99,21.08
T66,26.81,26.71,4.05,46.25
T80,22.99,22.94,4.05,37.6
T67,27.28,26.74,4.06,21.23
T6,18.67,18.76,4.11,63.9
T98,20.45,20.31,4.11,57.06
T1,38.44,37.49,4.17,11.5
T19,26.02,26.33,4.21,40.04
T104,25.84,24.93,4.23,18.9
T47,38.44,37.33,4.29,11.79
T5,24.32,24.27,4.41,65.71
T65,27.66,27.23,4.46,20.06
T37,13.73,13.59,4.55,62.52
T24,27.46,28.44,4.58,48.59
T33,22.33,22.03,4.68,37.28
T17,21.81,22.06,4.78,46.0
T93,27.59,26.32,4.8,16.97
T34,36.74,36.65,4.91,63.64
T29,24.12,24.3,5.05,45.25
T48,25.77,26.18,5.46,111.76
T52,30.1,29.6,5.67,22.55
T83,32.45,31.96,5.71,43.29
T11,24.65,24.35,6.02,56.24
T50,24.65,24.27,6.04,56.59
T110,29.68,27.22,7.29,28.32
T68,43.3,43.85,7.84,72.5
